season,n_train,n_test,accuracy,log_loss
2003,622,919,0.4548422198041349,1.1480945348739624
2004,1541,1075,0.5795348837209302,0.9248162508010864
2005,2616,797,0.5708908406524467,0.8955785632133484
2006,3413,834,0.6067146282973621,0.8506380319595337
2007,4247,983,0.5737538148524923,0.8869193196296692
2008,5230,1097,0.5952597994530537,0.8635638952255249
2009,6327,923,0.5850487540628385,0.8847959637641907
2010,7250,859,0.5890570430733411,0.9024773240089417
2011,8109,1116,0.6155913978494624,0.839569628238678
2012,9225,1020,0.5882352941176471,0.8623659610748291
2013,10245,959,0.6016684045881127,0.870696485042572
2014,11204,850,0.591764705882353,0.8903472423553467
2015,12054,1034,0.6170212765957447,0.8394847512245178
2016,13088,913,0.6352683461117196,0.8206883668899536
2017,14001,924,0.591991341991342,0.8947297930717468
2018,14925,923,0.5980498374864572,0.8664230704307556
2019,15848,1146,0.6396160558464223,0.8014428615570068
2020,16994,347,0.553314121037464,0.917667031288147
2021,17341,1115,0.6511210762331838,0.7643299102783203
2022,18456,965,0.5886010362694301,0.8851035237312317
2023,19421,1052,0.6416349809885932,0.8109189867973328
2024,20473,1231,0.6092607636068237,0.8480386137962341
2025,21704,1001,0.6463536463536463,0.7661139965057373
2026,22705,346,0.5924855491329479,0.8156657218933105
